Date No.,Average_Ammonia_Nitrogen
1,0.31
2,0.26
3,0.43
4,0.49
5,0.41
6,0.14
7,0.28
8,0.47
9,0.18
10,0.37
11,0.21
12,0.23
13,0.31
14,0.14
15,0.41
16,0.31
17,0.24
18,0.16
19,0.34
20,0.43
21,0.5
22,0.4
23,0.3
24,0.32
25,0.48
26,0.17
27,0.26
28,0.15
29,0.49
30,0.33
31,0.46
32,0.16
33,0.17
34,0.41
35,0.48
36,0.14
37,0.17
38,0.19
39,0.14
40,0.36
41,0.21
42,0.19
43,0.3
44,0.47
45,0.28
46,0.15
47,0.34
48,0.41
49,0.33
50,0.42
51,0.38
52,0.44
53,0.16
54,0.14
55,0.25
56,0.46
57,0.46
58,0.18
59,0.49
60,0.32
61,0.39
62,0.32
63,0.21
64,0.49
65,0.15
66,0.18
67,0.4
68,0.14
69,0.23
70,0.49
71,0.15
72,0.33
73,0.23
74,0.49
75,0.33
76,0.23
77,0.33
78,0.34
79,0.15
80,0.15
81,0.48
82,0.21
83,0.21
84,0.3
85,0.47
86,0.48
87,0.39
88,0.24
89,0.46
90,0.49
